Comment,Designator,Footprint,LCSC
Conn_01x30,J1,Connector_FFC-FPC:Hirose_FH12-30S-0.5SH_1x30-1MP_P0.50mm_Horizontal,C506793
Conn_01x30,J2,Connector_PinSocket_2.54mm:PinSocket_2x15_P2.54mm_Vertical,
