Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_01x30,Hirose_FH12-30S-0.5SH_1x30-1MP_P0.50mm_Horizontal,175.3,-76.2,90,top
J2,Conn_01x30,PinSocket_2x15_P2.54mm_Vertical,160.31,-93.95,180,top
